ticker,beta,cumulative_return,annual_rate_return,annualyzed_volatility
CSAN3.SA,1.0135400566981594,0.19438350711770025,0.33465975668497583,0.5627827809587008
DMMO3.SA,1.1215915974064823,-0.5376712367914477,-0.006665769847215892,1.3039991760170966
ENAT3.SA,0.8892345730555176,-0.19553803064248243,0.04913738889874842,0.7091505797231739
RPMG3.SA,0.9967113110012397,-0.44950497695224223,-0.3641759793506135,0.6584103951227279
PETR3.SA,1.424099701926218,-0.021052582473344406,0.2502150647165635,0.7193539667909598
BRDT3.SA,1.1067460224040089,-0.2317363107068945,-0.08054255468271382,0.5958317828792982
PRIO3.SA,1.7364137014353054,1.4793332417806035,1.5053779628464108,1.0880760262776505
UGPA3.SA,1.3613931747317058,0.025524862433761175,0.2863310378697096,0.722065513330372
LUPA3.SA,0.893362097674675,0.35911608614155877,0.7390846765373785,0.9561280359881636
OSXB3.SA,0.5598181129458346,5.194968663327265,4.078059000492508,2.6652530023214687
BRAP3.SA,0.916519570684678,0.9988235024844907,0.8222339450361931,0.5334124297247103
MMXM3.SA,0.4900471679718367,9.129870628502346,5.361055445827486,3.2186525138206394
VALE3.SA,0.9708694173935545,0.8751852247450094,0.7687128808757763,0.5553797641660894
FESA3.SA,0.09758887452938943,0.32678131066116944,0.5226770721826568,0.7075547703111827
GGBR3.SA,0.9336149345633175,0.5657894431388941,0.5990796579746236,0.5617020573169126
GOAU3.SA,1.0804290587141596,0.31092439091351154,0.45444940394728683,0.6036226880789469
CSNA3.SA,1.2795281571309687,1.7713037513228436,1.3071724134388976,0.7785041578766205
USIM3.SA,0.9226607218518519,0.7612564773708046,0.765166379506716,0.6488984787061963
MGEL3.SA,0.0,0.0,0.0,0.0
PATI3.SA,0.27623049705247155,0.5089621990505371,0.5906846339536399,0.624211526343761
TKNO3.SA,0.0,0.0,0.0,0.0
PMAM3.SA,0.8641245873853163,-0.6511711601738459,-0.7233014006135935,0.7818143920858821
BRKM3.SA,0.8274833754533744,-0.1499999999999997,0.024186590290564906,0.598074946991403
GPCP3.SA,0.6720304192018675,2.4934556283356337,1.6423835471520973,0.9033591233824344
FHER3.SA,0.7987831768780299,-0.2265060326793159,0.01760022574302648,0.7464451938740235
NUTR3.SA,-0.053920117650812165,3.9111111111111097,2.5410296199327655,1.4703146143205301
CRPG3.SA,0.06894446085646029,0.44072723388671853,0.4931723958823143,0.5514061009710763
UNIP3.SA,0.5516741229334002,0.5101448833078597,0.517414785093522,0.4753608256154468
DTEX3.SA,1.191356279833109,0.29476408150654154,0.495685704652134,0.6891383603355035
EUCA3.SA,0.4878654735220057,-0.8290298518849846,-1.1247196516718847,1.1231645976295719
RANI3.SA,0.7730899174386172,0.6657142639160185,0.8818607384651075,0.8917455371985011
KLBN3.SA,0.4651560191233384,0.3947990706297322,0.4373294429832882,0.4705513807874511
MSPA3.SA,-0.09772160804597438,-0.0399999999999997,-0.0007826284219462971,0.2817494953844016
SUZB3.SA,0.42042599442711776,0.555331575771028,0.5875567244024145,0.5552729990429102
MTIG3.SA,0.0,0.0,0.0,0.0
SNSY3.SA,-0.3349005153306899,22.964443630642382,10.400000085632861,7.909526958960544
ETER3.SA,1.1445269679094907,2.2519482514009357,1.6555460636330785,1.0022097960886784
HAGA3.SA,0.09192169982355586,-0.33263600058537157,-0.16434687599593115,0.7237380028091933
PTBL3.SA,1.1135423438445156,0.28906251018634066,0.5952000620530935,0.8280776500385418
AZEV3.SA,0.3840176023770998,-0.04716984032028293,1.9092254709896572,2.3508422851032917
TCNO3.SA,0.7799368995162091,1.1363635033615416,1.4849727026879072,1.312047083390273
MILS3.SA,1.0886957983983356,-0.37113401808461366,-0.16928607638933696,0.7545647726887037
EMBR3.SA,1.251248528285397,-0.54587870331149,-0.48002374990929925,0.7599191881459404
FRAS3.SA,0.6767790454854543,0.6853034832267575,0.6167114484146915,0.45135315894704064
POMO3.SA,0.9342321822634756,-0.2860759748860149,-0.13576163176524872,0.609971515764867
RAPT3.SA,0.9952626943925045,0.03581261500028976,0.2715045090421205,0.6703593084007596
RCSL3.SA,0.785774768305652,5.30872453581584,2.513499076757268,1.2536200638651835
TUPY3.SA,0.7296479868853407,0.10796798747642633,0.26593565195145397,0.5764923207465404
MWET3.SA,0.2512433503770391,7.311428615025109,3.8775098359915114,2.2629416813301115
SHUL3.SA,0.0,0.0,0.0,0.0
WEGE3.SA,0.8128865449517246,1.6687500667004396,1.131816168348334,0.5805971366447499
EALT3.SA,0.2690933293227182,-0.044604309537717324,0.5764996531792262,1.2793808514949165
BDLL3.SA,0.0014486453404771909,0.14577259336256976,0.1381069513763062,0.09874643082492157
ROMI3.SA,0.7989868993873103,0.20603519094612355,0.44281162191871604,0.7143030106207634
INEP3.SA,0.6272425705985272,1.5027397233430064,1.368170947589784,1.0320286802612237
KEPL3.SA,0.4411132756640819,0.3447272560813215,0.35359368734408053,0.35223266132741277
FRIO3.SA,0.07763210310622964,0.00638980088864205,0.367145525948082,0.8635012342999947
NORD3.SA,0.20812832929298872,0.49361707783220266,1.3742851853854448,1.6615791331150087
MTSA3.SA,-0.04538098738182368,0.5555555555555556,0.5507331267849643,0.5668719684685896
TASA3.SA,0.7603704932438848,2.4710741131026115,1.497545867902228,0.740454981650329
RLOG3.SA,0.9527130921994539,-0.12505542307024164,0.034572009751311625,0.5754814165468305
VSPT3.SA,0.0,0.0,0.0,0.0
RAIL3.SA,1.003051672708752,-0.22017263751138028,-0.07326525835465951,0.587449951208756
LOGN3.SA,1.4200424581603583,-0.19378617145105848,0.1319939454900032,0.8357215132763927
